plant_id,plant_name,utility_name,state,county,generator_id,status,technology
54793,Storm Lake 1,ALLETE Clean Energy,IA,Buena Vista,3,OP,Onshore Wind Turbine
54793,Storm Lake 1,ALLETE Clean Energy,IA,Buena Vista,EXIS,OP,Onshore Wind Turbine
54909,Tehachapi Wind Resource II,CalWind Resources Inc,CA,Kern,EXI2,OP,Onshore Wind Turbine
54909,Tehachapi Wind Resource II,CalWind Resources Inc,CA,Kern,EXIS,OP,Onshore Wind Turbine
54931,Ridgetop,Terra-Gen Operating Co-Wind,CA,Kern,WGN1,OP,Onshore Wind Turbine
54979,Big Spring Wind Power Facility,Terra-Gen Operating Co-Wind,TX,Howard,WIND,OP,Onshore Wind Turbine
55125,Vansycle,ESI Vansycle Partners LP,OR,Umatilla,WGNS,OP,Onshore Wind Turbine
55208,Lake Benton I,ALLETE Clean Energy,MN,Lincoln,EXIS,OP,Onshore Wind Turbine
55265,Lake Benton II,Northern States Power Co - Minnesota,MN,Pipestone,EXIS,OP,Onshore Wind Turbine
55287,Storm Lake II,ALLETE Clean Energy,IA,Buena Vista,EXIS,OP,Onshore Wind Turbine
55339,Phoenix Wind Power LLC,Avangrid Power LLC,CA,Riverside,GEN1,OP,Onshore Wind Turbine
55342,Woodstock Windfarm,Consolidated Edison Development Inc.,MN,Pipestone,WIND,OP,Onshore Wind Turbine
55353,Lakota Ridge LLC,"Lakota Ridge, LLC (Longroad)",MN,Lincoln,NMO1,OP,Onshore Wind Turbine
55354,Shaokatan Hills LLC,"Shaokatan Hills, LLC (Longroad)",MN,Lincoln,6150,OP,Onshore Wind Turbine
55560,FPL Energy Vansycle LLC (WA),FPL Energy Vansycle LLC,WA,Walla Walla,V-47,OP,Onshore Wind Turbine
55561,Tsar Nicholas LLC,CHI Operations Inc,MN,Lincoln,TN30,OP,Onshore Wind Turbine
55562,Sun River LLC,CHI Operations Inc,MN,Lincoln,SU30,OP,Onshore Wind Turbine
55563,Julia Hills LLC,CHI Operations Inc,MN,Lincoln,JH30,OP,Onshore Wind Turbine
55564,Jessica Mills LLC,CHI Operations Inc,MN,Lincoln,JM30,OP,Onshore Wind Turbine
55565,Jack River LLC,CHI Operations Inc,MN,Lincoln,JR30,OP,Onshore Wind Turbine
55566,Autumn Hills LLC,CHI Operations Inc,MN,Lincoln,AH30,OP,Onshore Wind Turbine
55567,Winters Spawn LLC,CHI Operations Inc,MN,Lincoln,WS30,OP,Onshore Wind Turbine
55568,Twin Lake Hills LLC,CHI Operations Inc,MN,Lincoln,TL30,OP,Onshore Wind Turbine
55569,Spartan Hills LLC,CHI Operations Inc,MN,Lincoln,SH30,OP,Onshore Wind Turbine
55570,Soliloquoy Ridge LLC,CHI Operations Inc,MN,Lincoln,SR30,OP,Onshore Wind Turbine
55571,Ruthton Ridge LLC,CHI Operations Inc,MN,Lincoln,RR30,OP,Onshore Wind Turbine
55572,Hope Creek LLC,CHI Operations Inc,MN,Lincoln,HC30,OP,Onshore Wind Turbine
55573,Hadley Ridge LLC,CHI Operations Inc,MN,Lincoln,HR30,OP,Onshore Wind Turbine
55574,Florence Hills LLC,CHI Operations Inc,MN,Lincoln,FH30,OP,Onshore Wind Turbine
55576,Agassiz Beach LLC,CHI Operations Inc,MN,Clay,AB30,OP,Onshore Wind Turbine
55579,Llano Estacado Wind Ranch,Llano Estacado Wind Ranch,TX,Carson,EXIS,OP,Onshore Wind Turbine
55581,King Mountain Wind Ranch 1,FPL Energy Upton Wind LP,TX,Upton,EXIS,OP,Onshore Wind Turbine
55719,Mountain View I & II,AES Distributed Energy,CA,Riverside,MVWR,OP,Onshore Wind Turbine
55734,Gray County Wind Energy,Gray County Wind Energy LLC,KS,Gray,V47,OP,Onshore Wind Turbine
55739,Condon Windpower LLC,ALLETE Clean Energy,OR,Gilliam,GEN1,OP,Onshore Wind Turbine
55739,Condon Windpower LLC,ALLETE Clean Energy,OR,Gilliam,GEN2,OP,Onshore Wind Turbine
55741,Ridge Crest Wind Partners,Terra-Gen Operating Co-Wind,CO,Logan,A1,OA,Onshore Wind Turbine
55742,Montfort Wind Energy Center,Wisconsin Electric Power Co,WI,Iowa,ER15,OP,Onshore Wind Turbine
55747,NWP Indian Mesa Wind Farm,NWP Indian Mesa Wind Farm LP,TX,Pecos,NWP2,OP,Onshore Wind Turbine
55769,Madison Windpower LLC,Madison Windpower LLC,NY,Madison,MADW,OP,Onshore Wind Turbine
55782,Noble Ridge LLC,RENEW Energy Inc,MN,Nobles,WH01,OP,Onshore Wind Turbine
55790,Fenner Wind,CHI Energy Inc,NY,Madison,1,OP,Onshore Wind Turbine
55795,Woodward Mountain II,Pecos Wind II LP,TX,Pecos,01,OP,Onshore Wind Turbine
55796,Woodward Mountain I,Pecos Wind I LP,TX,Pecos,01,OP,Onshore Wind Turbine
55803,Somerset Windpower LLC,"Sequitur Renewables, LLC",PA,Somerset,EW,OP,Onshore Wind Turbine
55804,"Old Gold Energy Center, LLC","Old Gold Energy Center, LLC",IA,Worth,NM,OP,Onshore Wind Turbine
55805,Mill Run Windpower LLC,"Sequitur Renewables, LLC",PA,Somerset,G1,OP,Onshore Wind Turbine
55809,Kas Brothers Windfarm,Kas Brothers Windfarm LLC,MN,Pipestone,G1,OP,Onshore Wind Turbine
55816,Hawkeye Power Partners LLC,Hawkeye Power Partners LLC,IA,Cerro Gordo,48M,OP,Onshore Wind Turbine
55871,Klondike Wind Power,Avangrid Power LLC,OR,Sherman,Ph 1,OP,Onshore Wind Turbine
55968,Trent Wind Farm,Trent Wind Farm LLC,TX,Nolan,WTG1,OP,Onshore Wind Turbine
55986,Mountaineer Wind Energy Center,"Sequitur Renewables, LLC",WV,Tucker,WT1,OP,Onshore Wind Turbine
55989,FPL Energy Vansycle LLC (OR),FPL Energy Vansycle LLC,OR,Umatilla,V-47,OP,Onshore Wind Turbine
55992,Desert Sky,Desert Sky Wind Farm LP,TX,Pecos,1,OP,Onshore Wind Turbine
55995,Minot Wind Project,Basin Electric Power Coop,ND,Ward,MWP2,OP,Onshore Wind Turbine
56001,Waymart Wind,"Sequitur Renewables, LLC",PA,Wayne,GE15,OP,Onshore Wind Turbine
56002,Minwind,"Community Renewables, LLC",MN,Rock,1,OP,Onshore Wind Turbine
56010,Hancock County Wind Energy Center,"FPL Energy Hancock County Wind, LLC",IA,Hancock,V-47,OP,Onshore Wind Turbine
56011,Cabazon Wind Partners,Shell Wind Energy Inc.,CA,Riverside,V-47,OP,Onshore Wind Turbine
56012,Whitewater Hill Wind Partners,Shell Wind Energy Inc.,CA,Riverside,1,OP,Onshore Wind Turbine
56052,"Meyersdale Windpower, LLC","Sequitur Renewables, LLC",PA,Somerset,GE15,OP,Onshore Wind Turbine
56054,G McNeilus Wind Farm Dodge Center,Justin McNeilus,MN,Dodge,GM1,OP,Onshore Wind Turbine
56054,G McNeilus Wind Farm Dodge Center,Justin McNeilus,MN,Dodge,GM2,OP,Onshore Wind Turbine
56054,G McNeilus Wind Farm Dodge Center,Justin McNeilus,MN,Dodge,GM3,OP,Onshore Wind Turbine
56075,High Winds LLC,"FPLE High Winds, LLC",CA,Solano,1,OP,Onshore Wind Turbine
56075,High Winds LLC,"FPLE High Winds, LLC",CA,Solano,2,OP,Onshore Wind Turbine
56081,Blue Canyon Windpower,Blue Canyon Windpower LLC,OK,Comanche,EW,OP,Onshore Wind Turbine
56092,South Dakota Wind Energy Cente,FPL Energy South Dakota Wind LLC,SD,Hyde,GE15,OP,Onshore Wind Turbine
56093,TransAlta Wyoming Wind,TransAlta Wyoming Wind LLC,WY,Uinta,GE15,OP,Onshore Wind Turbine
56094,Oklahoma Wind Energy Center,FPL Energy Oklahoma Wind LLC,OK,Woodward,GE15,OP,Onshore Wind Turbine
56094,Oklahoma Wind Energy Center,FPL Energy Oklahoma Wind LLC,OK,Woodward,GSOO,OP,Onshore Wind Turbine
56097,New Mexico Wind Energy Center,FPL Energy New Mexico Wind LLC,NM,Quay,GE15,OP,Onshore Wind Turbine
56099,FPL Energy North Dakota Wind I/II,FPL Energy North Dakota Wind LLC,ND,LaMoure,GE15,OP,Onshore Wind Turbine
56106,Kimball Wind,"Kimball Wind, LLC",NE,Kimball,KIM01,OP,Onshore Wind Turbine
56111,Brazos Wind Farm,Shell Wind Energy Inc.,TX,Scurry,GEN1,OP,Onshore Wind Turbine
56112,Mountain View III,Avangrid Power LLC,CA,Riverside,V47,OP,Onshore Wind Turbine
56160,"Mendota Hills, LLC","Leeward Asset Management, LLC",IL,Lee,GEN1,OP,Onshore Wind Turbine
56162,Ainsworth Wind,Nebraska Public Power District,NE,Brown,1,OP,Onshore Wind Turbine
56172,Flying Cloud Power Partners LLC,Avangrid Power LLC,IA,Dickinson,FC,OP,Onshore Wind Turbine
56173,Colorado Green Holdings LLC,Avangrid Power LLC,CO,Prowers,CG,OP,Onshore Wind Turbine
56174,Moraine Wind LLC,Avangrid Power LLC,MN,Pipestone,MOR,OP,Onshore Wind Turbine
56195,Combine Hills I,Eurus Combine Hills I LLC,OR,Umatilla,001,OP,Onshore Wind Turbine
56199,TG Windfarm LLC,TG Windfarm LLC,MN,Pipestone,1,OP,Onshore Wind Turbine
56200,CG Windfarm LLC,CG Windfarm LLC,MN,Pipestone,I,OP,Onshore Wind Turbine
56201,Bisson Windfarm LLC,Bisson Windfarm LLC,MN,Pipestone,I,OP,Onshore Wind Turbine
56202,Tofteland Windfarm LLC,Tofteland Windfarm LLC,MN,Pipestone,I,OP,Onshore Wind Turbine
56203,Westridge Windfarm LLC,Westridge Windfarm LLC,MN,Pipestone,1,OP,Onshore Wind Turbine
56204,Fey Windfarm LLC,Fey Windfarm LLC,MN,Pipestone,1,OP,Onshore Wind Turbine
56205,Windcurrent Farms LLC,Windcurrent Farms LLC,MN,Pipestone,1,OP,Onshore Wind Turbine
56206,K-Brink Windfarm LLC,"K-brink Windfarm, LLC",MN,Pipestone,1,OP,Onshore Wind Turbine
56207,DL Windy Acres LLC,Brewster,MN,Jackson,1,OP,Onshore Wind Turbine
56208,S&P Windfarm LLC,Brewster,MN,Jackson,1,OP,Onshore Wind Turbine
56209,Boeve Windfarm LLC,Boeve Windfarm LLC,MN,Pipestone,1,OP,Onshore Wind Turbine
56210,B&K Energy Systems LLC,Brewster,MN,Jackson,1,OP,Onshore Wind Turbine
56211,Sweetwater Wind 1 LLC,"Leeward Asset Management, LLC",TX,Nolan,SW1,OP,Onshore Wind Turbine
56212,Sweetwater Wind 2 LLC,"Leeward Asset Management, LLC",TX,Nolan,SW2,OP,Onshore Wind Turbine
56215,Allendorf,E&E Enterprises LLC,IA,Osceola,A1,OS,Onshore Wind Turbine
56215,Allendorf,E&E Enterprises LLC,IA,Osceola,ET,OS,Onshore Wind Turbine
56215,Allendorf,E&E Enterprises LLC,IA,Osceola,ST,OS,Onshore Wind Turbine
