plant_id,name,utility_name,city,state,county,zipcode,lat,lng,sector,source
64300,Fort Drum Energy Center,Florida Power & Light Co,Vero Beach,FL,Okeechobee,32966,27.607892,-80.75812,Electric Utility,eia_860_2024
64301,Willow Solar Energy Center,Florida Power & Light Co,Myakka City,FL,Manatee,34251,27.448142,-82.080693,Electric Utility,eia_860_2024
64302,Lafayette 2 - McHenry Franks 1,MN8 Energy LLC,Marengo,IL,McHenry,60152,42.251568,-88.596711,IPP Non-CHP,eia_860_2024
64303,Lafayette 2 - McHenry Franks 2,MN8 Energy LLC,Huntley,IL,McHenry,60142,42.214828,-88.491906,IPP Non-CHP,eia_860_2024
64304,Lafayette 2 - Kankakee Yonke,MN8 Energy LLC,Kankakee,IL,Kankakee,60901,41.097265,-87.869294,IPP Non-CHP,eia_860_2024
64305,TCI France,"Entergy New Orleans, LLC",New Orleans,LA,Orleans,70126,29.984166,-90.028888,Electric Utility,eia_860_2024
64306,TCI Alvar,"Entergy New Orleans, LLC",New Orleans,LA,Orleans,70126,29.992222,-90.028611,Electric Utility,eia_860_2024
64307,New Orleans Solar Station,"Entergy New Orleans, LLC",New Orleans,LA,Orleans,70129,30.015,-89.92,Electric Utility,eia_860_2024
64308,"Dissigno Healdsburg FPV, LLC",Palmetto Power Management LLC,Healdsburg,CA,Sonoma,95448,38.584405,-122.866189,IPP Non-CHP,eia_860_2024
64309,Soldier Creek Wind,Soldier Creek Wind LLC,Corning,KS,Nemaha,66417,39.6572,-96.0294,IPP Non-CHP,eia_860_2024
64310,Corning Riverview (CSG),Corning Riverview Project,Tonawanda,NY,Erie,14150,43.001066,-78.91407,IPP Non-CHP,eia_860_2024
64311,"Sun Farm VIII, LLC","Sun Farm VIII, LLC",Battleboro,NC,Nash,27809,36.06,-77.75,IPP Non-CHP,eia_860_2024
64312,Bat Cave,Engie North America,Mason,TX,Mason,76856,30.737745,-99.231778,IPP Non-CHP,eia_860_2024
64314,Dickinson,Engie North America,Dickinson,TX,Galveston,77539,29.461255,-95.056987,IPP Non-CHP,eia_860_2024
64315,Loop 463,Engie North America,Victoria,TX,Victoria,77905,28.816475,-97.074867,IPP Non-CHP,eia_860_2024
64316,Lopeno,Engie North America,Zapata,TX,Zapata,78076,26.687614,-99.109418,IPP Non-CHP,eia_860_2024
64317,North Fork TX,Engie North America,Liberty Hill,TX,Williamson,78642,30.748955,-97.875708,IPP Non-CHP,eia_860_2024
64318,Pueblo BA,Engie North America,Eagle Pass,TX,Maverick,78852,28.678935,-100.463708,IPP Non-CHP,eia_860_2024
64319,Ranchtown,Engie North America,San Antonio,TX,Bexar,78023,29.617885,-98.735948,IPP Non-CHP,eia_860_2024
64321,Sweeny,Engie North America,Sweeny,TX,Brazoria,77480,29.055615,-95.687237,IPP Non-CHP,eia_860_2024
64322,Zapata,Engie North America,Zapata,TX,Zapata,78076,26.932675,-99.233708,IPP Non-CHP,eia_860_2024
64323,Coachella Hills Wind,Terra-Gen Operating Co-Wind,Palm Springs,CA,Riverside,92258,33.9077,-116.5797,IPP Non-CHP,eia_860_2024
64325,Prospero Solar II,"Prospero Solar II, LLC (Longroad)",Andrews,TX,Andrews,79714,32.275814,-102.844806,IPP Non-CHP,eia_860_2024
64326,Summit Winds,Greenbacker Renewable Energy Corporation,Livermore,CA,Alameda,94551,37.761151,-121.69067,IPP Non-CHP,eia_860_2024
64327,EDF Ph1 Toms River,MN8 Energy LLC,Tom's River,NJ,Ocean,8755,39.984,-74.238,IPP Non-CHP,eia_860_2024
64328,"AES Griggs Solar, LLC","AES Griggs Solar, LLC",Grant Park,IL,Kankakee,60940,41.19128,-87.666461,IPP Non-CHP,eia_860_2024
64329,"IGS East Central, LLC","IGS East Central, LLC",Joliet,IL,Will,60433,41.471715,-88.043725,IPP Non-CHP,eia_860_2024
64330,SV CSG Lily Lake 2 LLC,SV CSG Lily Lake 2 LLC,Maple Park,IL,Kane,60151,41.954902,-88.478372,IPP Non-CHP,eia_860_2024
64331,Cedarville Road,"SRC P9 - Lena Solar, LLC",Lena,IL,Stephenson,61048,42.37195,-89.80797,IPP Non-CHP,eia_860_2024
64332,Two Dot Wind Broadview East LLC,Two Dot Wind Broadview East LLC,Broadview,MT,Yellowstone,59015,46.10265,-108.806609,IPP Non-CHP,eia_860_2024
64333,"WED Coventry Seven, LLC","WED Coventry Seven, LLC",Coventry,RI,Kent,2827,41.697563,-71.722267,IPP Non-CHP,eia_860_2024
64334,"GD Glocester White Oak I, LLC","GD Glocester White Oak I, LLC",Glocester,RI,Providence,2857,41.861544,-71.596239,IPP Non-CHP,eia_860_2024
64335,Quitman II Solar,"Quitman II Solar, LLC",Quitman,GA,Brooks,31643,30.86205,-83.65165,IPP Non-CHP,eia_860_2024
64336,"Little Blue Wind Project, LLC","Little Blue Wind Project, LLC",Blue Hill,NE,Webster,68930,40.284421,-98.407586,IPP Non-CHP,eia_860_2024
64337,Farmington Solar,"Farmington Solar, LLC",Farmington,ME,Franklin,4938,44.654659,-70.100835,IPP Non-CHP,eia_860_2024
64339,Horizon Hill Wind Project,"Horizon Hill Wind, LLC",Crescent,OK,Logan,73028,35.989377,-97.589513,IPP Non-CHP,eia_860_2024
64340,White Rock West Wind Project,"White Rock Wind West, LLC",Anadarko,OK,Caddo,73005,34.96684,-98.25689,IPP Non-CHP,eia_860_2024
64341,White Rock East Wind Project,"White Rock Wind East, LLC",Anadarko,OK,Caddo,73005,34.97427,-98.185161,IPP Non-CHP,eia_860_2024
64342,"Badger Wind, LLC","Badger Wind , LLC",Northwest McIntosh,ND,McIntosh,58460,46.21691,-99.59834,IPP Non-CHP,eia_860_2024
64343,6685 Santa Barbara Ct,6685 Santa Barbara Ct,Elkridge,MD,Howard,21075,39.189589,-76.743011,IPP Non-CHP,eia_860_2024
64344,Emerick Wind,"Emerick Wind, LLC",Emerick,NE,Madison,68752,41.891,-97.71756,IPP Non-CHP,eia_860_2024
64345,Highland Solar North,"Placid Solar II, LLC",Lake Placid,FL,Highlands,33852,27.2821,-81.4256,IPP Non-CHP,eia_860_2024
64346,Highland Solar South,"Placid Solar, LLC",Lake Placid,FL,Highlands,33852,27.2664,-81.4082,IPP Non-CHP,eia_860_2024
64347,Mockingbird Solar Center,"Mockingbird Solar Center, LLC",Brookston,TX,Lamar,74421,33.39167,-95.42519,IPP Non-CHP,eia_860_2024
64349,Armadillo Solar Center,AES Clean Energy,Corsicana,TX,Navarro,75109,32.00014,-96.2027,IPP Non-CHP,eia_860_2024
64350,Orbit Bloom Fuel Cell,"DG Fuel Cell, LLC",Medford,NY,Suffolk,11763,40.819031,-72.965736,IPP Non-CHP,eia_860_2024
64351,Amazon JFK8 Solar Project,"Solar Star Prime 2, LLC",Staten Island,NY,Richmond,10314,40.618892,-74.187521,IPP Non-CHP,eia_860_2024
64352,Mtn Solar 6 LLC (CSG),Nautilus Solar Solutions,Sterling,CO,Logan,80751,40.613557,-103.233735,IPP Non-CHP,eia_860_2024
64353,NSE Camber Solar PS11 LLC (CSG),Nautilus Solar Solutions,Sterling,CO,Logan,80751,40.613557,-103.233735,IPP Non-CHP,eia_860_2024
64355,"NSE Camber BH CSG 2, LLC",Nautilus Solar Solutions,Ordway,CO,Crowley,80651,38.209158,-103.747306,IPP Non-CHP,eia_860_2024
64356,NSE Camber Solar PS13 LLC (CSG),Nautilus Solar Solutions,Sterling,CO,Logan,80751,40.619084,-103.158886,IPP Non-CHP,eia_860_2024
64357,NSE Camber Solar PS6 LLC CSG,Nautilus Solar Solutions,Platteville,CO,Weld,80651,40.260736,-104.824172,IPP Non-CHP,eia_860_2024
64358,NSE Camber Solar PS5 LLC (CSG),Nautilus Solar Solutions,Platteville,CO,Weld,80651,40.250222,-104.839513,IPP Non-CHP,eia_860_2024
64359,Pivot Solar 12 LLC(CSG),Nautilus Solar Solutions,Sterling,CO,Logan,80751,40.613557,-103.233735,IPP Non-CHP,eia_860_2024
64360,"American Goldfinch SCS ACY2 NJ, LLC","Arevon Energy, Inc.",Burlington,NJ,Burlington,8016,40.08556,-74.84089,IPP Non-CHP,eia_860_2024
