plant_id,plant_name,utility_name,state,county,generator_id,status,technology
56814,ELACC Photovoltaic Power Facility,MMA LA Power LP,CA,Los Angeles,PV1,OP,Solar Photovoltaic
56814,ELACC Photovoltaic Power Facility,MMA LA Power LP,CA,Los Angeles,PV2,OP,Solar Photovoltaic
56815,Denver Int Airport,MMA DAS Power,CO,Denver,1,OP,Solar Photovoltaic
56862,Bolthouse S&P and Rowen Farms Solar,MMA WBF Power LP,CA,Los Angeles,1,OP,Solar Photovoltaic
56862,Bolthouse S&P and Rowen Farms Solar,MMA WBF Power LP,CA,Los Angeles,2,OP,Solar Photovoltaic
56862,Bolthouse S&P and Rowen Farms Solar,MMA WBF Power LP,CA,Los Angeles,3,OP,Solar Photovoltaic
56862,Bolthouse S&P and Rowen Farms Solar,MMA WBF Power LP,CA,Los Angeles,4,OP,Solar Photovoltaic
56875,Sacramento Soleil LLC,"EDF Renewable Asset Holdings, Inc.",CA,Sacramento,TBD,OP,Solar Photovoltaic
56877,Hall's Warehouse Solar Project,"Sunlight General Solar Fund II, LLC",NJ,Middlesex,TBD,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 1,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 2,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 3,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 4,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 5,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 6,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 7,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 8,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN 9,OP,Solar Photovoltaic
56883,Pennsauken Solar,"NextEra Renewable Fuels, LLC",NJ,Camden,GEN10,OP,Solar Photovoltaic
56888,Warren County Solar,"NextEra Renewable Fuels, LLC",NJ,Warren,GEN 1,OP,Solar Photovoltaic
56888,Warren County Solar,"NextEra Renewable Fuels, LLC",NJ,Warren,GEN 2,OP,Solar Photovoltaic
56888,Warren County Solar,"NextEra Renewable Fuels, LLC",NJ,Warren,GEN 3,OP,Solar Photovoltaic
56888,Warren County Solar,"NextEra Renewable Fuels, LLC",NJ,Warren,GEN 4,OP,Solar Photovoltaic
56889,PPL Renewable Energy Merck Solar,"NextEra Renewable Fuels, LLC",NJ,Union,GEN 1,OP,Solar Photovoltaic
56900,Atlantic City Convention Center,"Luminace Solar New Jersey, LLC",NJ,Atlantic,1,OP,Solar Photovoltaic
56900,Atlantic City Convention Center,"Luminace Solar New Jersey, LLC",NJ,Atlantic,2,OP,Solar Photovoltaic
56900,Atlantic City Convention Center,"Luminace Solar New Jersey, LLC",NJ,Atlantic,3,OP,Solar Photovoltaic
56900,Atlantic City Convention Center,"Luminace Solar New Jersey, LLC",NJ,Atlantic,4,OP,Solar Photovoltaic
56909,Gap Pacific Distribution Center,MN8 Energy LLC,CA,Fresno,1,OP,Solar Photovoltaic
56909,Gap Pacific Distribution Center,MN8 Energy LLC,CA,Fresno,2,OP,Solar Photovoltaic
56909,Gap Pacific Distribution Center,MN8 Energy LLC,CA,Fresno,3,OP,Solar Photovoltaic
56909,Gap Pacific Distribution Center,MN8 Energy LLC,CA,Fresno,4,OP,Solar Photovoltaic
56915,SAS Solar Farm,SAS Institute Inc,NC,Wake,1,OP,Solar Photovoltaic
56915,SAS Solar Farm,SAS Institute Inc,NC,Wake,2,OP,Solar Photovoltaic
56915,SAS Solar Farm,SAS Institute Inc,NC,Wake,3,OP,Solar Photovoltaic
56915,SAS Solar Farm,SAS Institute Inc,NC,Wake,4,OP,Solar Photovoltaic
56917,"Imperial Valley Solar, LLC","Imperial Valley Solar, LLC",CA,Imperial,1,OP,Solar Photovoltaic
56917,"Imperial Valley Solar, LLC","Imperial Valley Solar, LLC",CA,Imperial,1A,OP,Solar Photovoltaic
56917,"Imperial Valley Solar, LLC","Imperial Valley Solar, LLC",CA,Imperial,1B,OP,Solar Photovoltaic
56922,WWRF Solar Plant,SunE U6 Holdings LLC,CO,Garfield,EAST,OP,Solar Photovoltaic
56922,WWRF Solar Plant,SunE U6 Holdings LLC,CO,Garfield,WEST,OP,Solar Photovoltaic
56929,DeSoto Next Generation Solar Energy,Florida Power & Light Co,FL,DeSoto,1,OP,Solar Photovoltaic
56930,Space Coast Next Gen Solar Energy,Florida Power & Light Co,FL,Brevard,1,OP,Solar Photovoltaic
56938,SunEdison LV Sutton Plant Site,SunE NC Progress 1 LLC,NC,New Hanover,NCP1,OP,Solar Photovoltaic
56939,Solar Blythe LLC,NRG Solar Blythe,CA,Riverside,1,OP,Solar Photovoltaic
56944,CM10,Consolidated Edison Development Inc.,NV,Clark,PV01,OP,Solar Photovoltaic
56966,RMQ 1 and 2,RMQ Ventures LLC,NC,Edgecombe,1,OP,Solar Photovoltaic
56966,RMQ 1 and 2,RMQ Ventures LLC,NC,Edgecombe,2,OP,Solar Photovoltaic
56993,MF Mesa Lane LLC,MF Mesa Lane LLC,PA,Bucks,MESA,OP,Solar Photovoltaic
57004,SunEdison Walgreens Moreno Valley,SunE WG113 Moreno Valley LLC,CA,Riverside,1,OP,Solar Photovoltaic
57005,Mariani Packing Vacaville Solar,SunE U6 Holdings LLC,CA,Solano,1,OP,Solar Photovoltaic
57006,Walgreens Woodland Distribution Center,SunE WG45 Woodland LLC,CA,Yolo,1,OP,Solar Photovoltaic
57007,SunEdison Ironwood State Prison,SunE CPA CDC2 LLC,CA,Riverside,1,OP,Solar Photovoltaic
57008,SunEdison Procter & Gamble Oxnard,SunE U6 Holdings LLC,CA,Ventura,1,OP,Solar Photovoltaic
57009,Kohls San Bernardino Solar Facility,"SunE WF3 KHL A Holdings, LLC",CA,San Bernardino,1,OP,Solar Photovoltaic
57010,SunEdison Anheuser Busch Fairfield,SunE M5 Holdings LLC,CA,Solano,1,OP,Solar Photovoltaic
57011,Chuckawalla Valley State Prison,SunE CPA CDC1 LLC,CA,Riverside,1,OP,Solar Photovoltaic
57012,SunEdison Walmart Apple Valley DC,SunE M5 Holdings LLC,CA,San Bernardino,1,OP,Solar Photovoltaic
57041,Vaca Dixon Solar Station,Pacific Gas & Electric Co.,CA,Solano,1,OP,Solar Photovoltaic
57073,Ivanpah 2,NRG Energy Services,CA,San Bernardino,ST1,OP,Solar Thermal without Energy Storage
